2024-10-24 19:20:01,459 - u1h1 - INFO - Log location : /home/casomoon/DSL_Exercises/logs/u1h1.log
2024-10-24 19:20:43,184 - u1h1 - INFO - Epoch [74/200] - Loss: 0.2257, Accuracy: 89.83%
2024-10-24 19:20:43,679 - u1h1 - INFO - Epoch [75/200] - Loss: 0.2235, Accuracy: 89.72%
2024-10-24 19:20:44,170 - u1h1 - INFO - Epoch [76/200] - Loss: 0.2213, Accuracy: 89.92%
2024-10-24 19:20:44,645 - u1h1 - INFO - Epoch [77/200] - Loss: 0.2191, Accuracy: 90.03%
2024-10-24 19:20:45,117 - u1h1 - INFO - Epoch [78/200] - Loss: 0.2169, Accuracy: 90.46%
2024-10-24 19:20:45,630 - u1h1 - INFO - Epoch [79/200] - Loss: 0.2149, Accuracy: 90.34%
2024-10-24 19:20:46,117 - u1h1 - INFO - Epoch [80/200] - Loss: 0.2128, Accuracy: 90.56%
2024-10-24 19:20:46,602 - u1h1 - INFO - Epoch [81/200] - Loss: 0.2108, Accuracy: 90.68%
2024-10-24 19:20:47,072 - u1h1 - INFO - Epoch [82/200] - Loss: 0.2088, Accuracy: 90.79%
2024-10-24 19:20:47,538 - u1h1 - INFO - Epoch [83/200] - Loss: 0.2068, Accuracy: 90.92%
2024-10-24 19:20:48,043 - u1h1 - INFO - Epoch [84/200] - Loss: 0.2049, Accuracy: 90.95%
2024-10-24 19:20:48,547 - u1h1 - INFO - Epoch [85/200] - Loss: 0.2029, Accuracy: 91.23%
2024-10-24 19:20:49,017 - u1h1 - INFO - Epoch [86/200] - Loss: 0.2010, Accuracy: 91.33%
2024-10-24 19:20:49,483 - u1h1 - INFO - Epoch [87/200] - Loss: 0.1991, Accuracy: 91.42%
2024-10-24 19:20:49,944 - u1h1 - INFO - Epoch [88/200] - Loss: 0.1973, Accuracy: 91.40%
2024-10-24 19:20:50,442 - u1h1 - INFO - Epoch [89/200] - Loss: 0.1953, Accuracy: 91.78%
2024-10-24 19:20:50,921 - u1h1 - INFO - Epoch [90/200] - Loss: 0.1936, Accuracy: 91.67%
2024-10-24 19:20:51,388 - u1h1 - INFO - Epoch [91/200] - Loss: 0.1918, Accuracy: 91.94%
2024-10-24 19:20:51,858 - u1h1 - INFO - Epoch [92/200] - Loss: 0.1900, Accuracy: 92.09%
2024-10-24 19:20:52,357 - u1h1 - INFO - Epoch [93/200] - Loss: 0.1883, Accuracy: 92.08%
2024-10-24 19:20:52,866 - u1h1 - INFO - Epoch [94/200] - Loss: 0.1866, Accuracy: 92.28%
2024-10-24 19:20:53,345 - u1h1 - INFO - Epoch [95/200] - Loss: 0.1849, Accuracy: 92.41%
2024-10-24 19:20:53,819 - u1h1 - INFO - Epoch [96/200] - Loss: 0.1831, Accuracy: 92.55%
2024-10-24 19:20:54,288 - u1h1 - INFO - Epoch [97/200] - Loss: 0.1814, Accuracy: 92.75%
2024-10-24 19:20:54,802 - u1h1 - INFO - Epoch [98/200] - Loss: 0.1799, Accuracy: 92.81%
2024-10-24 19:20:55,300 - u1h1 - INFO - Epoch [99/200] - Loss: 0.1782, Accuracy: 92.97%
2024-10-24 19:20:55,771 - u1h1 - INFO - Epoch [100/200] - Loss: 0.1766, Accuracy: 93.17%
2024-10-24 19:20:56,241 - u1h1 - INFO - Epoch [101/200] - Loss: 0.1751, Accuracy: 93.23%
2024-10-24 19:20:56,706 - u1h1 - INFO - Epoch [102/200] - Loss: 0.1735, Accuracy: 93.33%
2024-10-24 19:20:57,216 - u1h1 - INFO - Epoch [103/200] - Loss: 0.1719, Accuracy: 93.51%
2024-10-24 19:20:57,707 - u1h1 - INFO - Epoch [104/200] - Loss: 0.1705, Accuracy: 93.66%
2024-10-24 19:20:58,170 - u1h1 - INFO - Epoch [105/200] - Loss: 0.1689, Accuracy: 93.74%
2024-10-24 19:20:58,637 - u1h1 - INFO - Epoch [106/200] - Loss: 0.1675, Accuracy: 93.88%
2024-10-24 19:20:59,118 - u1h1 - INFO - Epoch [107/200] - Loss: 0.1660, Accuracy: 93.94%
2024-10-24 19:20:59,606 - u1h1 - INFO - Epoch [108/200] - Loss: 0.1645, Accuracy: 94.09%
2024-10-24 19:21:00,083 - u1h1 - INFO - Epoch [109/200] - Loss: 0.1631, Accuracy: 94.24%
2024-10-24 19:21:00,559 - u1h1 - INFO - Epoch [110/200] - Loss: 0.1617, Accuracy: 94.19%
2024-10-24 19:21:01,032 - u1h1 - INFO - Epoch [111/200] - Loss: 0.1603, Accuracy: 94.44%
2024-10-24 19:21:01,516 - u1h1 - INFO - Epoch [112/200] - Loss: 0.1589, Accuracy: 94.55%
2024-10-24 19:21:02,005 - u1h1 - INFO - Epoch [113/200] - Loss: 0.1576, Accuracy: 94.51%
2024-10-24 19:21:02,477 - u1h1 - INFO - Epoch [114/200] - Loss: 0.1562, Accuracy: 94.69%
2024-10-24 19:21:02,949 - u1h1 - INFO - Epoch [115/200] - Loss: 0.1548, Accuracy: 94.85%
2024-10-24 19:21:03,437 - u1h1 - INFO - Epoch [116/200] - Loss: 0.1536, Accuracy: 94.83%
2024-10-24 19:21:03,943 - u1h1 - INFO - Epoch [117/200] - Loss: 0.1523, Accuracy: 94.99%
2024-10-24 19:21:04,446 - u1h1 - INFO - Epoch [118/200] - Loss: 0.1510, Accuracy: 95.04%
2024-10-24 19:21:04,914 - u1h1 - INFO - Epoch [119/200] - Loss: 0.1498, Accuracy: 95.14%
2024-10-24 19:21:05,393 - u1h1 - INFO - Epoch [120/200] - Loss: 0.1485, Accuracy: 95.14%
2024-10-24 19:21:05,874 - u1h1 - INFO - Epoch [121/200] - Loss: 0.1472, Accuracy: 95.25%
2024-10-24 19:21:06,371 - u1h1 - INFO - Epoch [122/200] - Loss: 0.1460, Accuracy: 95.35%
2024-10-24 19:21:06,882 - u1h1 - INFO - Epoch [123/200] - Loss: 0.1448, Accuracy: 95.49%
2024-10-24 19:21:07,364 - u1h1 - INFO - Epoch [124/200] - Loss: 0.1436, Accuracy: 95.54%
2024-10-24 19:21:07,850 - u1h1 - INFO - Epoch [125/200] - Loss: 0.1425, Accuracy: 95.52%
2024-10-24 19:21:08,314 - u1h1 - INFO - Epoch [126/200] - Loss: 0.1413, Accuracy: 95.67%
2024-10-24 19:21:08,781 - u1h1 - INFO - Epoch [127/200] - Loss: 0.1401, Accuracy: 95.81%
2024-10-24 19:21:09,278 - u1h1 - INFO - Epoch [128/200] - Loss: 0.1390, Accuracy: 95.93%
2024-10-24 19:21:09,804 - u1h1 - INFO - Epoch [129/200] - Loss: 0.1379, Accuracy: 95.95%
2024-10-24 19:21:10,296 - u1h1 - INFO - Epoch [130/200] - Loss: 0.1367, Accuracy: 96.08%
2024-10-24 19:21:10,769 - u1h1 - INFO - Epoch [131/200] - Loss: 0.1356, Accuracy: 96.03%
2024-10-24 19:21:11,233 - u1h1 - INFO - Epoch [132/200] - Loss: 0.1346, Accuracy: 96.10%
2024-10-24 19:21:11,695 - u1h1 - INFO - Epoch [133/200] - Loss: 0.1335, Accuracy: 96.21%
2024-10-24 19:21:12,184 - u1h1 - INFO - Epoch [134/200] - Loss: 0.1324, Accuracy: 96.35%
2024-10-24 19:21:12,673 - u1h1 - INFO - Epoch [135/200] - Loss: 0.1314, Accuracy: 96.36%
2024-10-24 19:21:13,140 - u1h1 - INFO - Epoch [136/200] - Loss: 0.1304, Accuracy: 96.43%
2024-10-24 19:21:13,607 - u1h1 - INFO - Epoch [137/200] - Loss: 0.1294, Accuracy: 96.50%
2024-10-24 19:21:14,082 - u1h1 - INFO - Epoch [138/200] - Loss: 0.1283, Accuracy: 96.62%
2024-10-24 19:21:14,586 - u1h1 - INFO - Epoch [139/200] - Loss: 0.1274, Accuracy: 96.63%
2024-10-24 19:21:15,073 - u1h1 - INFO - Epoch [140/200] - Loss: 0.1264, Accuracy: 96.67%
2024-10-24 19:21:15,543 - u1h1 - INFO - Epoch [141/200] - Loss: 0.1254, Accuracy: 96.67%
2024-10-24 19:21:16,027 - u1h1 - INFO - Epoch [142/200] - Loss: 0.1244, Accuracy: 96.89%
2024-10-24 19:21:16,497 - u1h1 - INFO - Epoch [143/200] - Loss: 0.1235, Accuracy: 96.86%
2024-10-24 19:21:16,995 - u1h1 - INFO - Epoch [144/200] - Loss: 0.1226, Accuracy: 96.92%
2024-10-24 19:21:17,483 - u1h1 - INFO - Epoch [145/200] - Loss: 0.1216, Accuracy: 97.00%
2024-10-24 19:21:17,953 - u1h1 - INFO - Epoch [146/200] - Loss: 0.1207, Accuracy: 97.01%
2024-10-24 19:21:18,441 - u1h1 - INFO - Epoch [147/200] - Loss: 0.1198, Accuracy: 97.12%
2024-10-24 19:21:18,921 - u1h1 - INFO - Epoch [148/200] - Loss: 0.1189, Accuracy: 97.15%
2024-10-24 19:21:19,413 - u1h1 - INFO - Epoch [149/200] - Loss: 0.1180, Accuracy: 97.22%
2024-10-24 19:21:19,881 - u1h1 - INFO - Epoch [150/200] - Loss: 0.1172, Accuracy: 97.38%
2024-10-24 19:21:20,360 - u1h1 - INFO - Epoch [151/200] - Loss: 0.1163, Accuracy: 97.32%
2024-10-24 19:21:20,841 - u1h1 - INFO - Epoch [152/200] - Loss: 0.1154, Accuracy: 97.34%
2024-10-24 19:21:21,347 - u1h1 - INFO - Epoch [153/200] - Loss: 0.1146, Accuracy: 97.41%
2024-10-24 19:21:21,851 - u1h1 - INFO - Epoch [154/200] - Loss: 0.1138, Accuracy: 97.48%
2024-10-24 19:21:22,340 - u1h1 - INFO - Epoch [155/200] - Loss: 0.1130, Accuracy: 97.56%
2024-10-24 19:21:22,819 - u1h1 - INFO - Epoch [156/200] - Loss: 0.1121, Accuracy: 97.63%
2024-10-24 19:21:23,294 - u1h1 - INFO - Epoch [157/200] - Loss: 0.1113, Accuracy: 97.67%
2024-10-24 19:21:23,762 - u1h1 - INFO - Epoch [158/200] - Loss: 0.1105, Accuracy: 97.60%
2024-10-24 19:21:24,254 - u1h1 - INFO - Epoch [159/200] - Loss: 0.1097, Accuracy: 97.70%
2024-10-24 19:21:24,742 - u1h1 - INFO - Epoch [160/200] - Loss: 0.1089, Accuracy: 97.78%
2024-10-24 19:21:25,237 - u1h1 - INFO - Epoch [161/200] - Loss: 0.1082, Accuracy: 97.79%
2024-10-24 19:21:25,713 - u1h1 - INFO - Epoch [162/200] - Loss: 0.1074, Accuracy: 97.88%
2024-10-24 19:21:26,181 - u1h1 - INFO - Epoch [163/200] - Loss: 0.1066, Accuracy: 97.83%
2024-10-24 19:21:26,664 - u1h1 - INFO - Epoch [164/200] - Loss: 0.1059, Accuracy: 97.97%
2024-10-24 19:21:27,145 - u1h1 - INFO - Epoch [165/200] - Loss: 0.1052, Accuracy: 97.90%
2024-10-24 19:21:27,624 - u1h1 - INFO - Epoch [166/200] - Loss: 0.1045, Accuracy: 98.00%
2024-10-24 19:21:28,099 - u1h1 - INFO - Epoch [167/200] - Loss: 0.1037, Accuracy: 97.97%
2024-10-24 19:21:28,604 - u1h1 - INFO - Epoch [168/200] - Loss: 0.1031, Accuracy: 98.05%
2024-10-24 19:21:29,102 - u1h1 - INFO - Epoch [169/200] - Loss: 0.1023, Accuracy: 98.10%
2024-10-24 19:21:29,579 - u1h1 - INFO - Epoch [170/200] - Loss: 0.1016, Accuracy: 98.15%
2024-10-24 19:21:30,051 - u1h1 - INFO - Epoch [171/200] - Loss: 0.1010, Accuracy: 98.16%
2024-10-24 19:21:30,521 - u1h1 - INFO - Epoch [172/200] - Loss: 0.1002, Accuracy: 98.14%
2024-10-24 19:21:31,021 - u1h1 - INFO - Epoch [173/200] - Loss: 0.0996, Accuracy: 98.24%
2024-10-24 19:21:31,498 - u1h1 - INFO - Epoch [174/200] - Loss: 0.0989, Accuracy: 98.24%
